hv000,hv001,hv005,hv007,wealth_index
SN8,5.0,1418439.0,2023.0,-2.6558072891739912
SN8,5.0,1418439.0,2023.0,-2.713840526618537
SN8,5.0,1418439.0,2023.0,-1.7708640739185764
SN8,5.0,1418439.0,2023.0,-2.004708012488391
SN8,5.0,1418439.0,2023.0,-2.3350175106398448
SN8,5.0,1418439.0,2023.0,-1.3513391575139575
SN8,5.0,1418439.0,2023.0,-2.0531972508085423
SN8,5.0,1418439.0,2023.0,-2.8059399548373203
SN8,5.0,1418439.0,2023.0,-1.8472805124004177
SN8,5.0,1418439.0,2023.0,-1.8209099509745663
SN8,5.0,1418439.0,2023.0,-1.9258597946267626
SN8,5.0,1418439.0,2023.0,-1.8976666713145034
SN8,5.0,1418439.0,2023.0,-3.0385490045449584
SN8,5.0,1418439.0,2023.0,-2.0697780834743136
SN8,6.0,1637466.0,2023.0,-2.1280217137272954
SN8,6.0,1637466.0,2023.0,-1.9728318161046132
SN8,6.0,1637466.0,2023.0,-1.760363263830872
SN8,6.0,1637466.0,2023.0,-1.7118963785294097
SN8,6.0,1637466.0,2023.0,-1.613512886586887
SN8,6.0,1637466.0,2023.0,-1.0525176885183216
SN8,6.0,1637466.0,2023.0,-2.511809455199163
SN8,6.0,1637466.0,2023.0,-1.5959110347284224
SN8,6.0,1637466.0,2023.0,-1.795864015283869
SN8,6.0,1637466.0,2023.0,-2.05781492766742
SN8,6.0,1637466.0,2023.0,-0.8799185338088895
SN8,6.0,1637466.0,2023.0,-1.9142831000947689
SN8,6.0,1637466.0,2023.0,-1.4952692543786914
SN8,6.0,1637466.0,2023.0,-0.9889976842854036
SN8,6.0,1637466.0,2023.0,-2.439855972145592
SN8,6.0,1637466.0,2023.0,-1.4188660472704997
SN8,6.0,1637466.0,2023.0,-2.614578994270679
SN8,6.0,1637466.0,2023.0,-2.4795686357802404
SN8,6.0,1637466.0,2023.0,-1.8502075938298697
SN8,6.0,1637466.0,2023.0,-1.6355814168461962
SN8,6.0,1637466.0,2023.0,-1.9204486463918902
SN8,7.0,1827255.0,2023.0,-2.1314220189964654
SN8,7.0,1827255.0,2023.0,-1.853014944866897
SN8,7.0,1827255.0,2023.0,-2.3607493361497167
SN8,7.0,1827255.0,2023.0,-1.7454256289005743
SN8,7.0,1827255.0,2023.0,-2.3202453649245265
SN8,7.0,1827255.0,2023.0,-1.378166644713233
SN8,7.0,1827255.0,2023.0,-1.5369596006059152
SN8,7.0,1827255.0,2023.0,-2.5630868387201287
SN8,7.0,1827255.0,2023.0,-2.833779484882156
SN8,7.0,1827255.0,2023.0,-1.8848505396637987
SN8,7.0,1827255.0,2023.0,-2.025708067450554
SN8,7.0,1827255.0,2023.0,-1.890317950694886
SN8,7.0,1827255.0,2023.0,-2.949818496871202
SN8,7.0,1827255.0,2023.0,-1.1367849149692217
SN8,7.0,1827255.0,2023.0,-1.151854697780673
SN8,7.0,1827255.0,2023.0,-2.3701651298745348
SN8,7.0,1827255.0,2023.0,-1.366878853945944
SN8,7.0,1827255.0,2023.0,-2.920546036948747
SN8,7.0,1827255.0,2023.0,-1.327328181570086
SN8,7.0,1827255.0,2023.0,-2.6412704321362135
SN8,8.0,2675283.0,2023.0,-2.003553621300195
SN8,8.0,2675283.0,2023.0,-2.4406537290302555
SN8,8.0,2675283.0,2023.0,-2.1627287085729248
SN8,8.0,2675283.0,2023.0,-2.641900989844618
SN8,8.0,2675283.0,2023.0,-2.347219465223238
SN8,8.0,2675283.0,2023.0,-2.5615717973238525
SN8,8.0,2675283.0,2023.0,-2.771073861700242
SN8,8.0,2675283.0,2023.0,-1.2413584631084356
SN8,8.0,2675283.0,2023.0,-2.870760276880064
SN8,8.0,2675283.0,2023.0,-2.416934073876964
SN8,8.0,2675283.0,2023.0,-2.1497315211456267
SN8,8.0,2675283.0,2023.0,-1.8023597078601563
SN8,8.0,2675283.0,2023.0,-2.153203579613753
SN8,8.0,2675283.0,2023.0,-2.1008719975987593
SN8,8.0,2675283.0,2023.0,-2.8055769473954557
SN8,8.0,2675283.0,2023.0,-2.720495923057563
SN8,8.0,2675283.0,2023.0,-2.0496406986465674
SN8,8.0,2675283.0,2023.0,-1.9731734460257246
SN8,8.0,2675283.0,2023.0,-2.190617830889704
SN8,9.0,2222932.0,2023.0,-1.123118059225402
SN8,9.0,2222932.0,2023.0,-0.8483496282184512
SN8,9.0,2222932.0,2023.0,-1.101478350534528
SN8,9.0,2222932.0,2023.0,-2.0523906259109324
SN8,9.0,2222932.0,2023.0,-1.897243498081643
SN8,9.0,2222932.0,2023.0,-1.1776823632631133
SN8,9.0,2222932.0,2023.0,-2.1155898456286475
SN8,9.0,2222932.0,2023.0,-0.9909377264195585
SN8,9.0,2222932.0,2023.0,-1.729142844435986
SN8,9.0,2222932.0,2023.0,-2.506410026963893
SN8,9.0,2222932.0,2023.0,-1.8892605790892019
SN8,9.0,2222932.0,2023.0,-2.8858658871611413
SN8,9.0,2222932.0,2023.0,-2.043341470129355
SN8,9.0,2222932.0,2023.0,-2.0790796850765445
SN8,9.0,2222932.0,2023.0,-1.882312915709672
SN8,9.0,2222932.0,2023.0,-2.0562756852973205
SN8,9.0,2222932.0,2023.0,-1.2678837970289798
SN8,9.0,2222932.0,2023.0,-1.653318137962497
SN8,9.0,2222932.0,2023.0,-2.305767585138482
SN8,9.0,2222932.0,2023.0,-1.4375138965331622
SN8,9.0,2222932.0,2023.0,-1.2804771654214886
SN8,9.0,2222932.0,2023.0,-1.1166592610512531
SN8,10.0,3006363.0,2023.0,-1.8198020257002514
SN8,10.0,3006363.0,2023.0,-2.88299611354788
SN8,10.0,3006363.0,2023.0,-3.068775585025059
SN8,10.0,3006363.0,2023.0,-3.1555038940039024
SN8,10.0,3006363.0,2023.0,-1.6592248807902388
SN8,10.0,3006363.0,2023.0,-2.804487495842366
SN8,10.0,3006363.0,2023.0,-2.6512184631370563
SN8,10.0,3006363.0,2023.0,-3.0888537696283853
SN8,10.0,3006363.0,2023.0,-2.94425650140499
SN8,10.0,3006363.0,2023.0,-1.683010308087468
SN8,10.0,3006363.0,2023.0,-1.9330488171659124
SN8,10.0,3006363.0,2023.0,-2.903994164185234
SN8,10.0,3006363.0,2023.0,-2.2335054042243656
SN8,10.0,3006363.0,2023.0,-2.0051792932745696
SN8,10.0,3006363.0,2023.0,-2.077858385790497
SN8,10.0,3006363.0,2023.0,-2.6106993254778397
SN8,10.0,3006363.0,2023.0,-1.969112411494777
SN8,10.0,3006363.0,2023.0,-2.3003616270211027
SN8,10.0,3006363.0,2023.0,-1.6318873307045378
SN8,10.0,3006363.0,2023.0,-2.198743244291044
SN8,10.0,3006363.0,2023.0,-2.155154866431571
SN8,10.0,3006363.0,2023.0,-2.6159345435663166
SN8,11.0,960015.0,2023.0,-2.033939234171339
SN8,11.0,960015.0,2023.0,-1.2704096102499407
SN8,11.0,960015.0,2023.0,-1.6466046008626907
SN8,11.0,960015.0,2023.0,-1.7727222481666836
SN8,11.0,960015.0,2023.0,-2.413569160287592
SN8,11.0,960015.0,2023.0,-1.6335231194622264
