threshold,percent_cells_labelled,percent_cells_min,percent_cells_max,num_years,spatial_autocorr,confidence_interval
30.526315789473685,8.049385832071344,6.6506814740030284,10.752145381120647,6,"{'I': np.float64(0.8737029720924933), 'I_min': np.float64(0.8514831447724127), 'I_max': np.float64(0.8940218579042426), 'p_value': np.float64(0.001)}","{'width': np.float64(0.015535021780800537), 'width_min': np.float64(0.011962021934532663), 'width_max': np.float64(0.018545540757511025)}"
31.57894736842105,7.887430590610802,6.486622917718324,10.575466935890965,6,"{'I': np.float64(0.8748187168033891), 'I_min': np.float64(0.8379277927681393), 'I_max': np.float64(0.9055426462662072), 'p_value': np.float64(0.001)}","{'width': np.float64(0.015660613643495913), 'width_min': np.float64(0.01208893456548843), 'width_max': np.float64(0.018755733380502737)}"
32.631578947368425,7.7401985529193995,6.347804139323573,10.36092882382635,6,"{'I': np.float64(0.8772204101393509), 'I_min': np.float64(0.8333618673348154), 'I_max': np.float64(0.9057511807594693), 'p_value': np.float64(0.001)}","{'width': np.float64(0.01571928581789957), 'width_min': np.float64(0.01218829011838074), 'width_max': np.float64(0.01873135487651234)}"
33.68421052631579,7.628722867238768,6.246845027763755,10.196870267541644,6,"{'I': np.float64(0.8802612914884751), 'I_min': np.float64(0.8307812154813634), 'I_max': np.float64(0.9064435059455392), 'p_value': np.float64(0.001)}","{'width': np.float64(0.015826851684994352), 'width_min': np.float64(0.012196460400300424), 'width_max': np.float64(0.018843208077021778)}"
34.73684210526316,7.508833922261484,6.1585058051489145,10.045431600201917,6,"{'I': np.float64(0.8796295330050922), 'I_min': np.float64(0.8300622042946595), 'I_max': np.float64(0.9081402175001856), 'p_value': np.float64(0.001)}","{'width': np.float64(0.015935220998091377), 'width_min': np.float64(0.012305895661333555), 'width_max': np.float64(0.01893827536870163)}"
35.78947368421053,7.386841662460037,5.969207470974255,9.856133266027259,6,"{'I': np.float64(0.882363504673117), 'I_min': np.float64(0.8333382552971245), 'I_max': np.float64(0.9120574453799054), 'p_value': np.float64(0.001)}","{'width': np.float64(0.01604290235037246), 'width_min': np.float64(0.012310263728510962), 'width_max': np.float64(0.01894129230303787)}"
36.84210526315789,7.252229513713612,5.880868248359414,9.704694598687531,6,"{'I': np.float64(0.8818492059542176), 'I_min': np.float64(0.8317675342807963), 'I_max': np.float64(0.9086060062468835), 'p_value': np.float64(0.001)}","{'width': np.float64(0.016195088540603142), 'width_min': np.float64(0.012385154505545115), 'width_max': np.float64(0.01918984210459007)}"
37.89473684210526,7.1113074204946995,5.754669358909641,9.540636042402827,6,"{'I': np.float64(0.8819257088785534), 'I_min': np.float64(0.8263246619363909), 'I_max': np.float64(0.9082724206133157), 'p_value': np.float64(0.001)}","{'width': np.float64(0.01629630430706201), 'width_min': np.float64(0.01244574059365211), 'width_max': np.float64(0.019242024925540502)}"
38.94736842105263,6.976695271748276,5.691569914184756,9.414437152953054,6,"{'I': np.float64(0.8833273665603842), 'I_min': np.float64(0.8260373433748104), 'I_max': np.float64(0.9124968265594856), 'p_value': np.float64(0.001)}","{'width': np.float64(0.0164674796879629), 'width_min': np.float64(0.012641371344405461), 'width_max': np.float64(0.019503150995947127)}"
40.0,6.839979808177688,5.590610802624937,9.237758707723371,6,"{'I': np.float64(0.8819298529276479), 'I_min': np.float64(0.8131491256348786), 'I_max': np.float64(0.9141491575781006), 'p_value': np.float64(0.001)}","{'width': np.float64(0.016638270129509653), 'width_min': np.float64(0.012750404505950663), 'width_max': np.float64(0.019594876896226077)}"
