,hv009,hv014,hv025,hv201,hv201b,hv204,hv205,hv206,hv207,hv208,hv209,hv210,hv211,hv212,hv213,hv214,hv215,hv216,hv217,hv219,hv220,hv221,hv222,hv223,hv225,hv226,hv227,hv228,hv230a,hv230b,hv232,hv232b,hv232y,hv234a,hv237,hv237a,hv237b,hv237c,hv237d,hv237e,hv237f,hv237x,hv237z,hv238a,hv241,hv243a,hv243b,hv243c,hv243d,hv243e,hv244,hv246,hv246a,hv246b,hv246c,hv246d,hv246e,hv246f,hv246h,hv247,hv252,hv259,hv261,hv262,hv263,hml1,hml2,sh101a,sh134a,sh134b,sh134c,sh151aa,sh151ab,sh151ac,sh151ad,sh151ae,sh151ax,sh155a,sh155b,sh161a,sh162a,sh163a,sh161b,sh161c,sh162c,sh161d,sh161e,sh165,sh177a,sh177b,sh177c,sh177d,sh177e,sh177f,sh177g,sh177h,sh177i,sh177j,sh177k,sh177l,sh177x,sh132d,sh132e,sh132h,sh132j,sh132k,sh132l,sh132m,sh132o,sh132p,sh133c,sh133f,sh133g,sh133h,hv001,hv005,wealth_index
10,-0.8390501312911213,-0.9163635780284165,0,2,1,49,0,1,0,0,0,0,0,0,7,11,9,-1.216633989263045,4,1,17,0,9,3,1,17,0,2,3,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,6,14,0,1,0,-0.579403851456274,3,1,2,2,0,0,0,0,0,0,1,2,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1308253.0,15.765111608395346
11,-1.1678926623320032,-0.9163635780284165,0,13,0,49,0,1,0,1,0,0,0,0,6,11,11,-1.216633989263045,2,0,51,0,2,3,1,2,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,4,7,0,1,0,-0.579403851456274,4,0,2,2,1,1,1,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,1308253.0,39.36953230164387
12,-0.5102076002502394,-0.9163635780284165,0,0,1,49,1,1,1,1,1,0,0,0,6,10,11,-0.8363427475083922,4,1,27,0,2,3,0,2,0,2,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,23,1,1,4,7,0,1,0,-0.579403851456274,0,1,2,2,0,1,0,0,0,1,0,0,1,0,21,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1.0,1308253.0,49.588187299087316
13,-1.1678926623320032,-0.9163635780284165,0,0,0,49,1,1,0,1,0,0,0,0,6,10,11,-1.216633989263045,5,0,31,0,9,3,1,17,0,2,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,23,1,0,4,7,0,1,0,-0.579403851456274,3,0,1,1,0,1,0,0,0,0,0,0,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1308253.0,33.18880998959132
14,-0.6746288657706803,0.2874936188417936,0,0,0,49,1,1,1,1,1,0,0,0,6,10,11,-1.216633989263045,2,0,31,1,2,3,1,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,1,4,7,0,1,3,-0.579403851456274,3,0,2,2,1,1,0,0,0,0,1,3,1,0,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.0,1308253.0,41.50889601177792
15,0.3118987273519654,-0.31443497959331146,0,0,0,49,0,1,1,1,1,1,0,0,6,10,11,-0.07576026399908675,5,0,50,0,2,3,0,2,0,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,1,3,0,0,1,0,-0.579403851456274,1,1,1,1,1,1,0,0,0,0,0,0,1,0,21,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1308253.0,34.78236601297705
16,-1.332313927852444,-0.9163635780284165,0,0,0,49,0,1,0,1,0,0,0,0,8,11,11,-1.216633989263045,1,0,39,0,2,3,1,2,0,2,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,23,1,2,6,14,0,1,0,-0.579403851456274,4,0,2,2,0,1,0,0,0,1,0,0,1,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1308253.0,44.56188233687204
17,-0.8390501312911213,-0.31443497959331146,0,0,1,49,1,1,0,1,1,0,0,0,6,10,11,-0.8363427475083922,3,1,16,0,2,3,0,2,0,2,1,1,1,0,0,4,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23,1,0,4,7,0,1,0,-0.579403851456274,3,0,1,0,1,1,1,0,0,1,1,6,1,0,21,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1308253.0,47.47161870367662
18,-1.332313927852444,-0.9163635780284165,0,13,0,49,6,1,1,1,1,0,1,0,8,10,11,-1.216633989263045,1,0,29,0,2,3,1,2,0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,23,0,0,4,7,0,1,0,-0.579403851456274,3,0,2,2,0,1,0,0,0,0,1,7,1,0,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1308253.0,34.61310012626895
19,0.3118987273519654,-0.31443497959331146,0,0,1,49,0,1,0,1,1,1,0,0,6,10,11,-0.07576026399908675,4,0,36,0,2,3,0,2,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,1,6,14,0,1,1,-0.579403851456274,0,1,2,2,1,1,0,0,0,0,1,3,1,0,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1308253.0,30.56838338475321
