hv000,hv001,hv005,wealth_index
SN8,5.0,1418439.0,-0.4162357392384521
SN8,5.0,1418439.0,-0.4377423657618497
SN8,5.0,1418439.0,-0.7394121591152218
SN8,5.0,1418439.0,-0.8797662742446473
SN8,5.0,1418439.0,-0.8815057558100794
SN8,5.0,1418439.0,-0.7517569325845329
SN8,5.0,1418439.0,-0.7451614683277246
SN8,5.0,1418439.0,-1.2191287647041165
SN8,5.0,1418439.0,-0.9601242432584088
SN8,5.0,1418439.0,-1.2880837284155355
SN8,5.0,1418439.0,-1.5185628483407134
SN8,5.0,1418439.0,-0.9998372495515304
SN8,5.0,1418439.0,-0.9874615857718748
SN8,5.0,1418439.0,-0.14398440737541152
SN8,5.0,1418439.0,-0.601219051231655
SN8,6.0,1637466.0,-0.9057250065991255
SN8,6.0,1637466.0,-1.0536446193594358
SN8,6.0,1637466.0,-0.671798278981493
SN8,6.0,1637466.0,-0.24613956621315958
SN8,6.0,1637466.0,-1.14619879947005
SN8,6.0,1637466.0,-1.7476219413725889
SN8,6.0,1637466.0,-0.8082109249432281
SN8,6.0,1637466.0,-1.1654013834094574
SN8,6.0,1637466.0,-1.0473350069532397
SN8,6.0,1637466.0,-0.4186841459278479
SN8,6.0,1637466.0,-0.7711935325061701
SN8,6.0,1637466.0,-1.2966836305989697
SN8,6.0,1637466.0,0.3802783627006339
SN8,6.0,1637466.0,-1.275567227863489
SN8,6.0,1637466.0,-0.47376958909373157
SN8,6.0,1637466.0,0.3504880047087765
SN8,6.0,1637466.0,-0.6642771427879958
SN8,6.0,1637466.0,-0.6059568688622741
SN8,6.0,1637466.0,-0.06873537480413744
SN8,6.0,1637466.0,-0.14029504870301324
SN8,6.0,1637466.0,1.5111646038484647
SN8,7.0,1827255.0,-1.3637573793642492
SN8,7.0,1827255.0,0.16977065534934568
SN8,7.0,1827255.0,-0.660595171171986
SN8,7.0,1827255.0,-1.8272778783944732
SN8,7.0,1827255.0,-0.8390631599332014
SN8,7.0,1827255.0,-1.1865433483217327
SN8,7.0,1827255.0,-1.2268073436299956
SN8,7.0,1827255.0,-0.5004226076492855
SN8,7.0,1827255.0,-0.7574628650919816
SN8,7.0,1827255.0,-1.229450437077836
SN8,7.0,1827255.0,-1.2477670587277092
SN8,7.0,1827255.0,-0.7598795040148969
SN8,7.0,1827255.0,-1.0963279759202753
SN8,7.0,1827255.0,-1.259797850831061
SN8,7.0,1827255.0,-1.4113778183558954
SN8,7.0,1827255.0,0.2243319564362458
SN8,7.0,1827255.0,-0.873451180709471
SN8,7.0,1827255.0,-0.006307223762810031
SN8,7.0,1827255.0,-1.1429430774641616
SN8,7.0,1827255.0,-0.759336807108729
SN8,8.0,2675283.0,0.22010609234797684
SN8,8.0,2675283.0,-0.7055533535333598
SN8,8.0,2675283.0,-0.563399734198506
SN8,8.0,2675283.0,-0.6148503710348167
SN8,8.0,2675283.0,0.23155581775459047
SN8,8.0,2675283.0,-0.8969475537490718
SN8,8.0,2675283.0,-0.5649756161027809
SN8,8.0,2675283.0,0.039764789714553675
SN8,8.0,2675283.0,-0.35167449199802714
SN8,8.0,2675283.0,-0.6115627240607292
SN8,8.0,2675283.0,-0.9519759693442934
SN8,8.0,2675283.0,0.8077584426407131
SN8,8.0,2675283.0,-0.9128531846118686
SN8,8.0,2675283.0,-0.7157356827136818
SN8,8.0,2675283.0,-0.3524949389388525
SN8,8.0,2675283.0,-0.1560048000216015
SN8,8.0,2675283.0,-0.5542194309236201
SN8,8.0,2675283.0,-0.39560325082506914
SN8,8.0,2675283.0,-1.153654027676387
SN8,9.0,2222932.0,-0.9402737312686125
SN8,9.0,2222932.0,-1.5462385404719008
SN8,9.0,2222932.0,-0.8392570070469118
SN8,9.0,2222932.0,-0.7131074828249521
SN8,9.0,2222932.0,-1.0567860592654044
SN8,9.0,2222932.0,-0.9755852987443813
SN8,9.0,2222932.0,-0.9254029316015099
SN8,9.0,2222932.0,-0.3244180563948552
SN8,9.0,2222932.0,-1.47098143242018
SN8,9.0,2222932.0,-0.8833288585521677
SN8,9.0,2222932.0,-0.6468786960003151
SN8,9.0,2222932.0,-0.2165005590513492
SN8,9.0,2222932.0,-1.298954125961729
SN8,9.0,2222932.0,-1.3230813014833946
SN8,9.0,2222932.0,-0.32365612787756864
SN8,9.0,2222932.0,-1.0570917609266965
SN8,9.0,2222932.0,-1.675463799876333
SN8,9.0,2222932.0,-1.071216492556396
SN8,9.0,2222932.0,-0.7568202366798806
SN8,9.0,2222932.0,-1.3075586264158598
SN8,9.0,2222932.0,-1.2145469906117383
SN8,9.0,2222932.0,-0.8339754457713275
SN8,10.0,3006363.0,-1.0046581340566447
SN8,10.0,3006363.0,-0.5379927281988263
SN8,10.0,3006363.0,0.03201627188194548
SN8,10.0,3006363.0,-0.44184647671397437
SN8,10.0,3006363.0,-0.8944980471760565
SN8,10.0,3006363.0,0.010693496810547473
SN8,10.0,3006363.0,-0.41100084852167595
SN8,10.0,3006363.0,-0.39864790892819535
